Was ich noch sagen wollte;Was hast Du in der Umfrage vermisst?;Die Umfrage war.....
Das Projekt ist ************************;Einladungsmöglichkeit für andere, um die Fragen gemeinsam zu beantworten.;easy.
Schule braucht mehr Leidenschaft bei diesem Thema ;Abfrage von mehr Informationen zum Projekt, z.B. welche Altersgruppen (bei uns 10-18);eine gute Tat :-) 
Coder Dojos gibt es in ganz D und Europa, ich kann jetzt nur für Berlin sprechen;Ein paar Fragen waren nicht ganz klar ;O.K. 
könnt mich gerne kontaktieren wenn ihr noch fragen habt;Nichts;Ok
Jeder ist Fachmann auf einem Gebiet und kann sein Wissen mit anderen Menschen teilen!;Fällt mir gerade nichts ein.;gut
Wenn ihr Kontakte zu Initiativen im Raum NRW und/ oder Sachsen habt, freue ich mich, wenn ihr uns ein Intro macht :-);korrekte Rechtschreibung bei den Fragen;"teilweise etwas schwer zu beantworten, da die Fragen missverständlich ausgedrückt waren ;)"
"Super, dass jemand sich die Mühe macht das zusammenzutragen.
Wir sind als Hochschulgruppe organisiert, das gab es nicht als Auswahlmöglichkeit.";Die Fragen beziehen sich fast hauptsächlich auf Vereine, dabei gibt es auch Unternehmen in diesem Bereich;gut! Teilweise gingen die Fragen etwas an unserem Konzept vorbei, ist aber verständlich, da wir sehr speziell sind.
"innerhalb des ************* heißt die Jugendarbeit ""****************""";Gedanken zur Vernetzung;"NOTWENDIG; INTERESSANT"
***** ist Partner vom *************. Schaut mal auf unserem Blog vorbei ***************** vielleicht können wir ja mal ein Interview zusammen veröffentlichen :-);Konkrete Fragen zu Dingen die konkret geplant sind oder getan werden.;Von der Fragenanzahl grade noch ok :-) Noch eine Seite hätte ich nicht mehr ausgefüllt
Wir sind/werden die Landesvertretung für Deutschland innerhalb der weltweiten **************** Community;Die Frage danach, womit wir helfen können.;bin gespannt, ob und was bewirkt werden kann ... 
Danke, dass Ihr dieses Thema angeht;Eine offene Auswahl des Alters der Zielgruppe. Unsere Werkstatt ist für alle Altersgruppen offen und nicht auf eine besondere ausgerichtet, sofern die Personen selbstständig arbeiten können und keine Betreuung erfordern. ;kurz genug und auf den Pukt gebracht! Danke!
Freut mich, dass Ihr Euch mit dem Thema beschäftigt!;Zu Fragen mit wem man schon zusammen arbeitet, wer einen schon unterstützt;Umfangreich. Die Frage zur Altersgruppe war unverständlich (Skala von 1 bis 10 statt konkreter Altersgruppen). Bei uns 10 bis 20 Jahre.
Ich habe keine Organisation;Mehr Mehrfachauswahlboxen :-);Oberflächlich
Nehmt doch lieber limesurvey als ein google Produkt!;Fragen nach der Qualifikation der Aktiven/Dozenten und deren Geschlechterverhältnis.;mehr an kommerzielle gut organisierte Unternehmen/Vereine gerichtet. 
Viel Erfolg! Falls Ihr Hilfe braucht meldet euch.;Wie hoch ist der Altersdurchschnitt in den Workshops an denen Sie teilgenommen haben? Sind wenigstens ein oder zwei Freunde der eigenen Kinder mit Freude dabei?;sehr interessant
Unser Verein ist wie der name schon sagt Chaos und ohne Struktur daher sind Antworten nicht immer 100% richtig. Außerdem funktionieren viele Fragen so nicht für unsern Verein. Worauf sind wir spezialisiert zB... auf nichts! jeder macht und tut worauf er bock hat, der eine Software der andere Hardware, Fotografie, Schweißen, 3D Druck und vieles mehr! es gibt keine Spezialisierung aber ordentlich viel Vielfalt ;;Gut, weil sie ein paar Fragen beinhaltet, die zur Reflexion angeregt haben.
Das Bild, dass offene Werkstätten, wie unsere eine ist, keine Dienstleister von Bildung sein können, sondern Stätten zur Selbstbildung, die ein gewisses Eigenegagement erfordern. Für die Arbeit mit Jugendlichen und Kindern werden Personen benötigt, die sich explizit um diese kümmern können. Diese fehlen uns aktuell und werden ohne finanzielle Unterstützung auch schwer zu bekommen sein.;;nötig
Danke für die Initiative. - Vielleicht wäre ne Matchingplattform von Firmen/IHKs und lokalen Initiativen zum Thema cool. Firmen können sehen was es gibt und die Leute vor Ort unterstützen.;;zu aufwendig, aus dem Kontext, 
Die Fragen sind zu sehr aus dem Kontext gerissen, um sie jetzt detailliert beantworten zu können.;;nicht zu lang (das meine ich ehrlich positiv)
Es war schwierig, zu verstehen, was mit der einen oder anderen Frage gemeint war bzw. worauf sie abzielte!;;"ok. Aber Google ist nicht so toll ;)"
Wir sind kein geführtes space, es gibt verschiedene Gruppen die verschiedene Projekte haben. Man tauscht sich aus und hilft sich. Es bleibt trotzdem unsere privatzeit.;;wie eine glitschige Seife, die man nicht richtig Packen kann.
meine Meinung ist nicht repräsentativ für den Verein, sondern höchstens für die Aktiven im Projekt ***********;;
.;;
Wir hätten gerne Informationen zu den Umfrageergebnissen.;;
Just using the Rasperry Pi is fine. Watching *********** for example on YouTube. She is amazing. ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;.;.
